City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
164,fenoarivo be,-18.4333,46.5667,61.81,42,15,4.05,MG,1722707723
165,la passe,45.5549,-0.8967,75.43,69,82,10.09,FR,1722707724
166,dalandzadgad,43.5708,104.425,66.9,49,8,10.74,MN,1722707725
167,waddan,29.1614,16.139,91.38,12,0,9.95,LY,1722707726
168,qaqortoq,60.7167,-46.0333,49.15,68,1,7.36,GL,1722707727
169,belleville,44.1788,-77.3705,83.89,74,100,8.05,CA,1722707544
170,happy valley-goose bay,53.3168,-60.3315,75.51,57,20,8.05,CA,1722707730
171,kanniyakumari,8.0833,77.5667,81.84,79,49,18.19,IN,1722707731
172,masvingo,-20.0637,30.8277,64.22,24,8,6.17,ZW,1722707732
173,jose pedro varela,-33.45,-54.5333,62.42,79,81,17.22,UY,1722707733
174,luganville,-15.5333,167.1667,74.89,85,96,12.84,VU,1722707734
175,hamar,60.7945,11.068,67.6,66,100,4.36,NO,1722707736
176,coaticook,45.1334,-71.7991,84.29,65,100,2.55,CA,1722707737
177,severinia,-20.8094,-48.8028,88.09,24,1,12.62,BR,1722707738
178,san antonio de pale,-1.4014,5.6325,73.2,73,100,11.32,GQ,1722707739
179,mombetsu,44.3525,143.3525,67.55,99,23,0.27,JP,1722707740
180,dwarka,22.2394,68.9678,82.49,87,100,20.49,IN,1722707741
181,flying fish cove,-10.4217,105.6791,76.68,88,100,11.5,CX,1722707742
182,talnakh,69.4865,88.3972,58.64,65,9,6.11,RU,1722707744
183,bamboo flat,11.7,92.7167,78.89,94,100,2.3,IN,1722707745
184,san patricio,28.017,-97.5169,93.16,48,82,3.83,US,1722707746
185,enewetak,11.3474,162.3373,82.69,77,28,0.47,MH,1722707747
186,chebba,35.2372,11.115,83.71,74,12,18.16,TN,1722707708
187,chinde,26.8212,87.7095,74.14,93,100,3.27,NP,1722707749
188,east london,-33.0153,27.9116,63.54,67,0,6.91,ZA,1722707585
189,georgetown,5.4112,100.3354,80.53,83,20,3.44,MY,1722707534
190,stawell,-37.05,142.7667,37.24,87,58,3.4,AU,1722707752
191,saint augustine beach,29.8505,-81.2654,94.06,66,26,17.02,US,1722707755
192,tsiombe,-25.3,45.4833,63.72,82,0,3.15,MG,1722707756
193,nabire,-3.3667,135.4833,74.73,93,97,3.18,ID,1722707757
194,champerico,14.3,-91.9167,91.94,77,55,7.11,GT,1722707758
195,wanning,18.8003,110.3967,80.13,92,14,6.64,CN,1722707759
196,kuching,1.55,110.3333,80.04,96,20,2.3,MY,1722707760
197,gwadar,25.1216,62.3254,82.44,83,100,13.94,PK,1722707761
198,alofi,-19.0595,-169.9187,69.69,94,75,4.61,NU,1722707763
199,vikulovo,56.8167,70.6107,60.96,86,29,5.57,RU,1722707764
200,akureyri,65.6835,-18.0878,60.73,55,40,11.5,IS,1722707765
201,oume,35.7839,139.2431,80.85,83,0,3.44,JP,1722707766
202,gejiu,23.306,103.1635,60.31,98,100,4.0,CN,1722707767
203,la punta,-33.1837,-66.3127,66.7,18,37,7.9,AR,1722707768
204,usogorsk,63.4106,48.6872,61.83,88,83,7.34,RU,1722707769
205,timbuktu,16.7735,-3.0074,86.92,53,94,8.9,ML,1722707770
206,ketchikan,55.3422,-131.6461,67.33,55,0,13.8,US,1722707772
207,kone,-21.0595,164.8658,58.32,74,24,1.86,NC,1722707773
208,gaiman,-43.2897,-65.4929,57.51,29,1,34.34,AR,1722707774
209,san juan de miraflores,-12.1629,-76.9635,70.18,69,30,7.65,PE,1722707775
210,puerto deseado,-47.7503,-65.8938,39.96,91,100,19.71,AR,1722707776
211,altai,46.3722,96.2583,59.41,39,15,1.95,MN,1722707777
212,monticello,45.3055,-93.7941,83.08,56,0,4.61,US,1722707778
213,severo-yeniseyskiy,60.3725,93.0408,55.51,71,93,2.42,RU,1722707779
214,porto novo,6.4965,2.6036,80.42,80,100,9.53,BJ,1722707781
215,mahibadhoo,3.7833,72.9667,83.55,71,53,2.13,MV,1722707782
216,korla,41.7597,86.1469,87.67,26,26,9.51,CN,1722707783
217,kingston,17.997,-76.7936,90.55,66,20,20.71,JM,1722707693
218,kranuan,16.7067,103.0788,77.16,94,100,7.43,TH,1722707785
219,howard springs,-12.497,131.047,71.51,93,26,3.53,AU,1722707786
220,choibalsan,48.0667,114.5,68.4,79,57,7.25,MN,1722707787
221,yuzhno-kurilsk,44.0306,145.8556,61.95,95,49,5.23,RU,1722707788
222,eduardo castex,-35.915,-64.2945,66.38,26,70,6.67,AR,1722707790
223,chunskiy,56.0815,99.6342,54.73,96,13,3.0,RU,1722707791
224,hasaki,35.7333,140.8333,77.4,85,54,1.54,JP,1722707792
225,udachny,66.4167,112.4,56.44,71,68,6.76,RU,1722707793
226,tolanaro,-25.0319,46.9987,69.87,88,20,0.0,MG,1722707794
227,tshabong,-26.05,22.45,71.6,19,12,12.93,BW,1722707795
228,mount isa,-20.7333,139.5,44.37,76,4,0.0,AU,1722707796
229,moquegua,-17.1956,-70.9353,72.39,29,2,9.04,PE,1722707797
230,st. john's,47.5649,-52.7093,76.39,53,20,10.36,CA,1722707734
231,bangassou,4.7413,22.8184,71.62,97,70,4.03,CF,1722707799
232,jiaojiang,28.6803,121.4428,79.23,97,3,2.1,CN,1722707801
233,ariquemes,-9.9133,-63.0408,102.16,21,37,3.8,BR,1722707802
234,newport,51.5877,-2.9984,67.68,70,61,15.14,GB,1722707803
235,effingham,32.3669,-81.3332,92.89,66,24,11.97,US,1722707804
236,alice town,25.7167,-79.3,85.17,76,83,22.75,BS,1722707805
237,aykhal,66.0,111.5,57.43,65,79,6.62,RU,1722707806
238,fortaleza,-3.7227,-38.5247,88.09,77,20,18.41,BR,1722707663
239,kurumkan,54.3,110.3,64.74,72,100,2.48,RU,1722707808
240,blythe,33.6103,-114.5964,106.25,20,0,3.44,US,1722707809
241,madalena,41.2162,-8.3345,89.76,57,0,4.65,PT,1722707811
242,cartagena,10.3997,-75.5144,87.42,79,40,5.75,CO,1722707812
243,ulsteinvik,62.3432,5.8487,66.31,78,100,2.3,NO,1722707813
244,esfarayen,37.0765,57.5101,76.66,28,4,4.81,IR,1722707814
